wavelength
300
305.4
310.8
316.2
321.6
327
332.4
337.8
343.2
348.6
354
359.4
364.8
370.2
375.6
381
386.4
391.8
397.2
402.6
408
413.4
418.8
424.2
429.6
435
440.4
445.8
451.2
456.6
462
467.4
472.8
478.2
483.6
489
494.4
499.8
505.2
510.6
516
521.4
526.8
532.2
537.6
543
548.4
553.8
559.2
564.6
570
575.4
580.8
586.2
591.6
597
602.4
607.8
613.2
618.6
624
629.4
634.8
640.2
645.6
651
656.4
661.8
667.2
672.6
678
683.4
688.8
694.2
699.6
705
710.4
715.8
721.2
726.6
732
737.4
742.8
748.2
753.6
759
764.4
769.8
775.2
780.6
786
791.4
796.8
802.2
807.6
813
818.4
823.8
829.2
834.6
840
845.4
850.8
856.2
861.6
867
872.4
877.8
883.2
888.6
894
899.4
904.8
910.2
915.6
921
926.4
931.8
937.2
942.6
948
953.4
958.8
964.2
969.6
975
980.4
985.8
991.2
996.6
1002
1007.4
1012.8
1018.2
1023.6
1029
1034.4
1039.8
1045.2
1050.6
1056
1061.4
1066.8
1072.2
1077.6
1083
1088.4
1093.8
1099.2
1104.6
1110
1115.4
1120.8
1126.2
1131.6
1137
1142.4
1147.8
1153.2
1158.6
1164
1169.4
1174.8
1180.2
1185.6
1191
1196.4
1201.8
1207.2
1212.6
1218
1223.4
1228.8
1234.2
1239.6
1245
1250.4
1255.8
1261.2
1266.6
1272
1277.4
1282.8
1288.2
1293.6
1299
1304.4
1309.8
1315.2
1320.6
1326
1331.4
1336.8
1342.2
1347.6
1353
1358.4
1363.8
1369.2
1374.6
1380
1385.4
1390.8
1396.2
1401.6
1407
1412.4
1417.8
1423.2
1428.6
1434
1439.4
1444.8
1450.2
1455.6
1461
1466.4
1471.8
1477.2
1482.6
1488
1493.4
1498.8
1504.2
1509.6
1515
1520.4
1525.8
1531.2
1536.6
1542
1547.4
1552.8
1558.2
1563.6
1569
1574.4
1579.8
1585.2
1590.6
1596
1601.4
1606.8
1612.2
1617.6
1623
1628.4
1633.8
1639.2
1644.6
1650
1655.4
1660.8
1666.2
1671.6
1677
1682.4
1687.8
1693.2
1698.6
1704
1709.4
1714.8
1720.2
1725.6
1731
1736.4
1741.8
1747.2
1752.6
1758
1763.4
1768.8
1774.2
1779.6
1785
1790.4
1795.8
1801.2
1806.6
1812
1817.4
1822.8
1828.2
1833.6
1839
1844.4
1849.8
1855.2
1860.6
1866
1871.4
1876.8
1882.2
1887.6
1893
1898.4
1903.8
1909.2
1914.6
1920
1925.4
1930.8
1936.2
1941.6
1947
1952.4
1957.8
1963.2
1968.6
1974
1979.4
1984.8
1990.2
1995.6
2001
2006.4
2011.8
2017.2
2022.6
2028
2033.4
2038.8
2044.2
2049.6
2055
2060.4
2065.8
2071.2
2076.6
2082
2087.4
2092.8
2098.2
2103.6
2109
2114.4
2119.8
2125.2
2130.6
2136
2141.4
2146.8
2152.2
2157.6
2163
2168.4
2173.8
2179.2
2184.6
2190
2195.4
2200.8
2206.2
2211.6
2217
2222.4
2227.8
2233.2
2238.6
2244
2249.4
2254.8
2260.2
2265.6
2271
2276.4
2281.8
2287.2
2292.6
2298
2303.4
2308.8
2314.2
2319.6
2325
2330.4
2335.8
2341.2
2346.6
2352
2357.4
2362.8
2368.2
2373.6
2379
2384.4
2389.8
2395.2
2400.6
2406
2411.4
2416.8
2422.2
2427.6
2433
2438.4
2443.8
2449.2
2454.6
2460
2465.4
2470.8
2476.2
2481.6
2487
2492.4
2497.8
2503.2
2508.6
2514
2519.4
2524.8
2530.2
2535.6
2541
2546.4
2551.8
2557.2
2562.6
2568
2573.4
2578.8
2584.2
2589.6
2595
2600.4
2605.8
2611.2
2616.6
2622
2627.4
2632.8
2638.2
2643.6
2649
2654.4
2659.8
2665.2
2670.6
2676
2681.4
2686.8
2692.2
2697.6
2703
2708.4
2713.8
2719.2
2724.6
2730
2735.4
2740.8
2746.2
2751.6
2757
2762.4
2767.8
2773.2
2778.6
2784
2789.4
2794.8
2800.2
2805.6
2811
2816.4
2821.8
2827.2
2832.6
2838
2843.4
2848.8
2854.2
2859.6
2865
2870.4
2875.8
2881.2
2886.6
2892
2897.4
2902.8
2908.2
2913.6
2919
2924.4
2929.8
2935.2
2940.6
2946
2951.4
2956.8
2962.2
2967.6
2973
2978.4
2983.8
2989.2
2994.6
